countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
ARM	1992	Female	49.0029983520508	..	..	71.26	..
ARM	1993	Female	48.9539985656738	..	..	71.607	..
ARM	1994	Female	48.867000579834	..	..	71.985	..
ARM	1995	Female	48.7459983825684	..	..	72.38	..
ARM	1996	Female	48.6139984130859	..	..	72.787	..
ARM	1997	Female	48.4819984436035	..	..	73.21	..
ARM	1998	Female	48.3450012207031	..	..	73.643	..
ARM	1999	Female	48.1940002441406	..	..	74.07	..
ARM	2000	Female	48.0250015258789	..	..	74.469	..
ARM	2001	Female	47.890998840332	..	..	74.817	99.1610717773438
ARM	2002	Female	47.7389984130859	..	..	75.106	..
ARM	2003	Female	47.5979995727539	..	..	75.335	..
ARM	2004	Female	47.5149993896484	..	..	75.509	..
ARM	2005	Female	47.515998840332	..	..	75.642	..
ARM	2006	Female	47.5690002441406	..	..	75.757	..
ARM	2007	Female	47.7019996643066	73.4850997924805	35.1683006286621	75.88	..
ARM	2008	Female	47.7039985656738	..	..	76.027	..
ARM	2009	Female	48.3320007324219	..	..	76.206	..
ARM	2010	Female	49.6199989318848	83.9399032592773	50.1691017150879	76.415	..
ARM	2011	Female	52.1199989318848	78.7154006958008	40.1898002624512	76.644	99.6903533935547
ARM	2012	Female	51.9869995117188	81.2200012207031	47.0299987792969	76.874	..
ARM	2013	Female	52.6459999084473	83.2699966430664	47.8699989318848	77.091	..
ARM	2014	Female	51.9580001831055	86.1138000488281	41.3148994445801	77.292	..
ARM	2015	Female	51.1759986877441	86.3072967529297	49.2434005737305	77.474	..
ARM	2016	Female	51.2109985351563	85.3968963623047	47.5203018188477	77.64	..
ABW	1990	Female	..	..	..	75.932	..
ABW	1991	Female	..	..	..	75.969	..
ABW	1992	Female	..	..	..	76.002	..
ABW	1993	Female	..	..	..	76.033	..
ABW	1994	Female	..	..	..	76.066	..
ABW	1995	Female	..	..	..	76.1	..
ABW	1996	Female	..	..	..	76.133	..
ABW	1997	Female	..	..	..	76.164	..
ABW	1998	Female	..	..	..	76.192	..
ABW	1999	Female	..	..	..	76.221	..
ABW	2000	Female	..	..	..	76.257	97.0713577270508
ABW	2001	Female	..	..	..	76.307	..
ABW	2002	Female	..	..	..	76.375	..
ABW	2003	Female	..	..	..	76.465	..
ABW	2004	Female	..	..	..	76.575	..
ABW	2005	Female	..	..	..	76.703	..
ABW	2006	Female	..	..	..	76.845	..
ABW	2007	Female	..	..	..	76.992	..
ABW	2008	Female	..	..	..	77.14	..
ABW	2009	Female	..	..	..	77.285	..
ABW	2010	Female	..	..	..	77.425	96.7197799682617
ABW	2011	Female	..	..	..	77.561	..
ABW	2012	Female	..	..	..	77.695	..
ABW	2013	Female	..	..	..	77.83	..
ABW	2014	Female	..	..	..	77.965	..
ABW	2015	Female	..	..	..	78.1	..
ABW	2016	Female	..	..	..	78.236	..
AUS	1990	Female	52.3199996948242	..	..	80.16	..
AUS	1991	Female	52.0209999084473	..	..	80.4	..
AUS	1992	Female	51.9700012207031	..	..	80.4	..
AUS	1993	Female	51.7519989013672	..	..	80.9	..
AUS	1994	Female	52.673999786377	..	..	80.9	..
AUS	1995	Female	53.6640014648438	..	..	80.8	..
AUS	1996	Female	53.8520011901855	..	..	81.1	..
AUS	1997	Female	53.6710014343262	..	..	81.4	..
AUS	1998	Female	53.7430000305176	..	..	81.5	..
AUS	1999	Female	53.7490005493164	..	..	81.8	..
AUS	2000	Female	54.6230010986328	..	..	82	..
AUS	2001	Female	55.1949996948242	..	..	82.4	..
AUS	2002	Female	55.4020004272461	..	..	82.6	..
AUS	2003	Female	56.0530014038086	..	..	82.8	..
AUS	2004	Female	55.8030014038086	..	..	83	..
AUS	2005	Female	57.0499992370605	..	..	83.3	..
AUS	2006	Female	57.6119995117188	..	..	83.5	..
AUS	2007	Female	58.2000007629395	..	..	83.7	..
AUS	2008	Female	58.6650009155273	..	..	83.7	..
AUS	2009	Female	58.8199996948242	91.7900009155273	75.2300033569336	83.9	..
AUS	2010	Female	58.7070007324219	91.7900009155273	73.7099990844727	84	..
AUS	2011	Female	58.9529991149902	92.1100006103516	72.9599990844727	84.2	..
AUS	2012	Female	58.8240013122559	92.2399978637695	73.3600006103516	84.3	..
AUS	2013	Female	58.7039985656738	88.0299987792969	60.5400009155273	84.3	..
AUS	2014	Female	58.6450004577637	..	..	84.4	..
AUS	2015	Female	59.0579986572266	..	..	84.5	..
AUS	2016	Female	59.2400016784668	..	..	84.6	..
AUT	1990	Female	43.4329986572266	..	..	79	..
AUT	1991	Female	43.7869987487793	..	..	79.1	..
AUT	1992	Female	44.9900016784668	..	..	79.3	..
AUT	1993	Female	45.5690002441406	..	..	79.5	..
AUT	1994	Female	47.9560012817383	..	..	79.8	..
AUT	1995	Female	48.8079986572266	86.7745971679688	60.3582000732422	80.1	..
AUT	1996	Female	48.3409996032715	84.429801940918	57.5252990722656	80.2	..
AUT	1997	Female	48.2980003356934	86.7014007568359	55.8009986877441	80.7	..
AUT	1998	Female	48.8129997253418	82.7994003295898	50.5037994384766	81	..
AUT	1999	Female	48.9799995422363	76.7091979980469	50.6230010986328	81	..
AUT	2000	Female	48.9440002441406	78.242301940918	49.7221984863281	81.2	..
AUT	2001	Female	48.7789993286133	78.6948013305664	47.8138008117676	81.7	..
AUT	2002	Female	50.1539993286133	77.5372009277344	48.9067001342773	81.7	..
AUT	2003	Female	50.185001373291	76.6019973754883	47.777099609375	81.5	..
AUT	2004	Female	49.359001159668	75.4647979736328	44.980598449707	82.1	..
AUT	2005	Female	50.6669998168945	75.4592971801758	47.266300201416	82.2	..
AUT	2006	Female	51.242000579834	75.723503112793	48.4067993164063	82.8	..
AUT	2007	Female	52.1160011291504	77.0091018676758	49.7020988464355	83.1	..
AUT	2008	Female	52.6759986877441	75.611198425293	48.7619018554688	83.3	..
AUT	2009	Female	53.3730010986328	75.3734970092773	48.5768013000488	83.2	..
AUT	2010	Female	53.5069999694824	75.7348022460938	47.9522018432617	83.5	..
AUT	2011	Female	53.8400001525879	75.4548034667969	48.9376983642578	83.8	..
AUT	2012	Female	54.3359985351563	75.6985015869141	47.3700981140137	83.6	..
